n-gram (n =2),Location
"{emptum,lignum}",prud. epil. 24 |2.6|
"{emptum,magno}",prud. epil. 24 |2.3|
"{emptum,magnus}",prud. epil. 24 |2.3|
"{emptum,parata}",prud. epil. 24 |2.5|
"{emptum,paratus}",prud. epil. 24 |2.5|
"{emptum,paro}",prud. epil. 24 |2.5|
"{emptum,sic}",prud. epil. 24 |2.4|
"{enim,domum}",prud. epil. 23 |2.3|
"{enim,domus}",prud. epil. 23 |2.3|
"{est,ad}",prud. epil. 22 |2.3|
"{est,angulos}",prud. epil. 14 |2.5|
"{est,angulus}",prud. epil. 14 |2.5|
"{est,congruens}",prud. epil. 22 |2.5|
"{est,congruo}",prud. epil. 22 |2.5|
"{est,erilem}",prud. epil. 22 |2.6|
"{est,erilis}",prud. epil. 22 |2.6|
"{est,et}",prud. epil. 17 |1.2|
"{est,fictilis}",prud. epil. 17 |1.4|
"{est,ille}",prud. epil. 17 |1.3|
"{est,olla}",prud. epil. 17 |1.3|
"{est,ollus}",prud. epil. 17 |1.3|
"{est,omnes}",prud. epil. 14 |2.4|
"{est,omnis}",prud. epil. 14 |2.4|
"{est,parapsis}",prud. epil. 18 |5.6|
"{est,per}",prud. epil. 14 |2.3|
"{est,supellex}",prud. epil. 14 |2.6|
"{est,usum}",prud. epil. 22 |2.4|
"{est,usus}",prud. epil. 22 |2.4|
"{est,utor}",prud. epil. 22 |2.4|
"{et,ampla}",prud. epil. 18 |2.3|
"{et,amplo}",prud. epil. 18 |2.3|
"{et,amplus}",prud. epil. 18 |2.3|
"{et,argentea}",prud. epil. 18 |2.4|
"{et,argenteus}",prud. epil. 18 |2.4|
"{et,audio}",prud. epil. 12 |3.5|
"{et,audit}",prud. epil. 12 |3.5|
"{et,benignus}",prud. epil. 12 |3.4|
"{et,est}",prud. epil. 18 |2.5|
"{et,fictilis}",prud. epil. 17 |2.4|
"{et,ille}",prud. epil. 17 |2.3|
"{et,olla}",prud. epil. 17 |2.3|
"{et,ollus}",prud. epil. 17 |2.3|
"{et,parapsis}",prud. epil. 18 |2.6|
"{et,pecunia}",prud. epil. 5 |2.3|
"{et,pecuniam}",prud. epil. 5 |2.3|
"{et,rotatiles}",prud. epil. 8 |2.3|
"{et,rotatilis}",prud. epil. 8 |2.3|
"{et,sum}",prud. epil. 18 |2.5|
"{et,trochaeos}",prud. epil. 8 |2.4|
"{et,trochaeus}",prud. epil. 8 |2.4|
"{et,ulmo}",prud. epil. 20 |5.6|
"{et,ulmus}",prud. epil. 20 |5.6|
