n-gram (n =3),Location
"{ad,congruens,erilem}",prud. epil. 22 |3.5.6|
"{ad,congruens,erilis}",prud. epil. 22 |3.5.6|
"{ad,congruo,erilem}",prud. epil. 22 |3.5.6|
"{ad,congruo,erilis}",prud. epil. 22 |3.5.6|
"{ad,leuamen,pauper}",prud. epil. 10 |2.3.4|
"{ad,leuamen,pauperum}",prud. epil. 10 |2.3.4|
"{ad,leuamen,possum}",prud. epil. 10 |2.3.5|
"{ad,leuamen,potens}",prud. epil. 10 |2.3.5|
"{ad,leuamen,potentes}",prud. epil. 10 |2.3.5|
"{ad,pauper,possum}",prud. epil. 10 |2.4.5|
"{ad,pauper,potens}",prud. epil. 10 |2.4.5|
"{ad,pauper,potentes}",prud. epil. 10 |2.4.5|
"{ad,pauperum,possum}",prud. epil. 10 |2.4.5|
"{ad,pauperum,potens}",prud. epil. 10 |2.4.5|
"{ad,pauperum,potentes}",prud. epil. 10 |2.4.5|
"{ad,usum,congruens}",prud. epil. 22 |3.4.5|
"{ad,usum,congruo}",prud. epil. 22 |3.4.5|
"{ad,usum,erilem}",prud. epil. 22 |3.4.6|
"{ad,usum,erilis}",prud. epil. 22 |3.4.6|
"{ad,usus,congruens}",prud. epil. 22 |3.4.5|
"{ad,usus,congruo}",prud. epil. 22 |3.4.5|
"{ad,usus,erilem}",prud. epil. 22 |3.4.6|
"{ad,usus,erilis}",prud. epil. 22 |3.4.6|
"{ad,utor,congruens}",prud. epil. 22 |3.4.5|
"{ad,utor,congruo}",prud. epil. 22 |3.4.5|
"{ad,utor,erilem}",prud. epil. 22 |3.4.6|
"{ad,utor,erilis}",prud. epil. 22 |3.4.6|
"{aer,defio,expolio}",prud. epil. 16 |2.3.4|
"{aer,defio,expolita}",prud. epil. 16 |2.3.4|
"{aer,defio,peluis}",prud. epil. 16 |2.3.5|
"{aer,defit,expolio}",prud. epil. 16 |2.3.4|
"{aer,defit,expolita}",prud. epil. 16 |2.3.4|
"{aer,defit,peluis}",prud. epil. 16 |2.3.5|
"{aer,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aer,expolita,peluis}",prud. epil. 16 |2.4.5|
"{aere,defio,expolio}",prud. epil. 16 |2.3.4|
"{aere,defio,expolita}",prud. epil. 16 |2.3.4|
"{aere,defio,peluis}",prud. epil. 16 |2.3.5|
"{aere,defit,expolio}",prud. epil. 16 |2.3.4|
"{aere,defit,expolita}",prud. epil. 16 |2.3.4|
"{aere,defit,peluis}",prud. epil. 16 |2.3.5|
"{aere,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aere,expolita,peluis}",prud. epil. 16 |2.4.5|
"{aes,defio,expolio}",prud. epil. 16 |2.3.4|
"{aes,defio,expolita}",prud. epil. 16 |2.3.4|
"{aes,defio,peluis}",prud. epil. 16 |2.3.5|
"{aes,defit,expolio}",prud. epil. 16 |2.3.4|
"{aes,defit,expolita}",prud. epil. 16 |2.3.4|
"{aes,defit,peluis}",prud. epil. 16 |2.3.5|
"{aes,expolio,peluis}",prud. epil. 16 |2.4.5|
"{aes,expolita,peluis}",prud. epil. 16 |2.4.5|
"{alter,et,pecunia}",prud. epil. 5 |1.2.3|
"{alter,et,pecuniam}",prud. epil. 5 |1.2.3|
"{alto,et,pecunia}",prud. epil. 5 |1.2.3|
"{alto,et,pecuniam}",prud. epil. 5 |1.2.3|
"{ampla,argentea,est}",prud. epil. 18 |3.4.5|
"{ampla,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{ampla,argentea,sum}",prud. epil. 18 |3.4.5|
"{ampla,argenteus,est}",prud. epil. 18 |3.4.5|
"{ampla,argenteus,parapsis}",prud. epil. 18 |3.4.6|
"{ampla,argenteus,sum}",prud. epil. 18 |3.4.5|
"{ampla,est,parapsis}",prud. epil. 18 |3.5.6|
"{ampla,sum,parapsis}",prud. epil. 18 |3.5.6|
"{amplo,argentea,est}",prud. epil. 18 |3.4.5|
"{amplo,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{amplo,argentea,sum}",prud. epil. 18 |3.4.5|
"{amplo,argenteus,est}",prud. epil. 18 |3.4.5|
"{amplo,argenteus,parapsis}",prud. epil. 18 |3.4.6|
"{amplo,argenteus,sum}",prud. epil. 18 |3.4.5|
"{amplo,est,parapsis}",prud. epil. 18 |3.5.6|
"{amplo,sum,parapsis}",prud. epil. 18 |3.5.6|
"{amplus,argentea,est}",prud. epil. 18 |3.4.5|
"{amplus,argentea,parapsis}",prud. epil. 18 |3.4.6|
"{amplus,argentea,sum}",prud. epil. 18 |3.4.5|
"{amplus,argenteus,est}",prud. epil. 18 |3.4.5|
"{amplus,argenteus,parapsis}",prud. epil. 18 |3.4.6|
"{amplus,argenteus,sum}",prud. epil. 18 |3.4.5|
"{amplus,est,parapsis}",prud. epil. 18 |3.5.6|
"{amplus,sum,parapsis}",prud. epil. 18 |3.5.6|
"{approbat,tamen,deus}",prud. epil. 11 |1.2.3|
"{approbo,tamen,deus}",prud. epil. 11 |1.2.3|
"{argentea,est,parapsis}",prud. epil. 18 |4.5.6|
"{argentea,sum,parapsis}",prud. epil. 18 |4.5.6|
"{argenteus,est,parapsis}",prud. epil. 18 |4.5.6|
"{argenteus,sum,parapsis}",prud. epil. 18 |4.5.6|
"{attamen,uel,inferus}",prud. epil. 31 |1.2.3|
"{attamen,uel,infimam}",prud. epil. 31 |1.2.3|
"{aurum,personasse,christum}",prud. epil. 34 |2.3.4|
"{aurum,personasse,christus}",prud. epil. 34 |2.3.4|
"{beata,abundat,intus}",prud. epil. 4 |2.4.5|
"{beata,abundo,intus}",prud. epil. 4 |2.4.5|
"{beata,mens,abundat}",prud. epil. 4 |2.3.4|
"{beata,mens,abundo}",prud. epil. 4 |2.3.4|
"{beata,mens,intus}",prud. epil. 4 |2.3.5|
"{beatum,abundat,intus}",prud. epil. 4 |2.4.5|
"{beatum,abundo,intus}",prud. epil. 4 |2.4.5|
"{beatum,mens,abundat}",prud. epil. 4 |2.3.4|
"{beatum,mens,abundo}",prud. epil. 4 |2.3.4|
"{beatum,mens,intus}",prud. epil. 4 |2.3.5|
"{beatus,abundat,intus}",prud. epil. 4 |2.4.5|
"{beatus,abundo,intus}",prud. epil. 4 |2.4.5|
"{beatus,mens,abundat}",prud. epil. 4 |2.3.4|
"{beatus,mens,abundo}",prud. epil. 4 |2.3.4|
"{beatus,mens,intus}",prud. epil. 4 |2.3.5|
"{beo,abundat,intus}",prud. epil. 4 |2.4.5|
"{beo,abundo,intus}",prud. epil. 4 |2.4.5|
"{beo,mens,abundat}",prud. epil. 4 |2.3.4|
"{beo,mens,abundo}",prud. epil. 4 |2.3.4|
"{beo,mens,intus}",prud. epil. 4 |2.3.5|
"{carmen,benignus,audio}",prud. epil. 12 |2.4.5|
"{carmen,benignus,audit}",prud. epil. 12 |2.4.5|
"{carmen,et,audio}",prud. epil. 12 |2.3.5|
"{carmen,et,audit}",prud. epil. 12 |2.3.5|
"{carmen,et,benignus}",prud. epil. 12 |2.3.4|
"{cauata,et,ulmo}",prud. epil. 20 |4.5.6|
"{cauata,et,ulmus}",prud. epil. 20 |4.5.6|
"{cauo,et,ulmo}",prud. epil. 20 |4.5.6|
"{cauo,et,ulmus}",prud. epil. 20 |4.5.6|
"{christus,aptat,usibus}",prud. epil. 27 |1.2.3|
"{christus,aptat,usus}",prud. epil. 27 |1.2.3|
"{christus,apto,usibus}",prud. epil. 27 |1.2.3|
"{christus,apto,usus}",prud. epil. 27 |1.2.3|
"{defio,expolio,peluis}",prud. epil. 16 |3.4.5|
"{defio,expolita,peluis}",prud. epil. 16 |3.4.5|
"{defit,expolio,peluis}",prud. epil. 16 |3.4.5|
"{defit,expolita,peluis}",prud. epil. 16 |3.4.5|
"{deo,obsequela,praestitisse}",prud. epil. 32 |1.2.3|
"{deo,obsequela,praesto}",prud. epil. 32 |1.2.3|
"{deo,obsequela,prodest}",prud. epil. 32 |1.2.4|
"{deo,obsequela,prodo}",prud. epil. 32 |1.2.4|
"{deo,obsequela,prosum}",prud. epil. 32 |1.2.4|
"{deo,obsequellam,praestitisse}",prud. epil. 32 |1.2.3|
"{deo,obsequellam,praesto}",prud. epil. 32 |1.2.3|
"{deo,obsequellam,prodest}",prud. epil. 32 |1.2.4|
"{deo,obsequellam,prodo}",prud. epil. 32 |1.2.4|
"{deo,obsequellam,prosum}",prud. epil. 32 |1.2.4|
"{deo,praestitisse,prodest}",prud. epil. 32 |1.3.4|
"{deo,praestitisse,prodo}",prud. epil. 32 |1.3.4|
"{deo,praestitisse,prosum}",prud. epil. 32 |1.3.4|
"{deo,praesto,prodest}",prud. epil. 32 |1.3.4|
"{deo,praesto,prodo}",prud. epil. 32 |1.3.4|
"{deo,praesto,prosum}",prud. epil. 32 |1.3.4|
"{deus,obsequela,praestitisse}",prud. epil. 32 |1.2.3|
"{deus,obsequela,praesto}",prud. epil. 32 |1.2.3|
"{deus,obsequela,prodest}",prud. epil. 32 |1.2.4|
"{deus,obsequela,prodo}",prud. epil. 32 |1.2.4|
"{deus,obsequela,prosum}",prud. epil. 32 |1.2.4|
"{deus,obsequellam,praestitisse}",prud. epil. 32 |1.2.3|
"{deus,obsequellam,praesto}",prud. epil. 32 |1.2.3|
"{deus,obsequellam,prodest}",prud. epil. 32 |1.2.4|
"{deus,obsequellam,prodo}",prud. epil. 32 |1.2.4|
"{deus,obsequellam,prosum}",prud. epil. 32 |1.2.4|
"{deus,praestitisse,prodest}",prud. epil. 32 |1.3.4|
"{deus,praestitisse,prodo}",prud. epil. 32 |1.3.4|
"{deus,praestitisse,prosum}",prud. epil. 32 |1.3.4|
"{deus,praesto,prodest}",prud. epil. 32 |1.3.4|
"{deus,praesto,prodo}",prud. epil. 32 |1.3.4|
"{deus,praesto,prosum}",prud. epil. 32 |1.3.4|
"{ego,cieo,iambicos}",prud. epil. 7 |1.2.3|
"{ego,citos,iambicos}",prud. epil. 7 |1.2.3|
"{ego,citus,iambicos}",prud. epil. 7 |1.2.3|
"{ego,in,atrio}",prud. epil. 25 |1.3.4|
"{ego,in,atrium}",prud. epil. 25 |1.3.4|
"{ego,in,atrius}",prud. epil. 25 |1.3.4|
"{ego,paterno,atrio}",prud. epil. 25 |1.2.4|
"{ego,paterno,atrium}",prud. epil. 25 |1.2.4|
"{ego,paterno,atrius}",prud. epil. 25 |1.2.4|
"{ego,paterno,in}",prud. epil. 25 |1.2.3|
"{ego,paternus,atrio}",prud. epil. 25 |1.2.4|
"{ego,paternus,atrium}",prud. epil. 25 |1.2.4|
"{ego,paternus,atrius}",prud. epil. 25 |1.2.4|
"{ego,paternus,in}",prud. epil. 25 |1.2.3|
"{emo,magno,ligno}",prud. epil. 24 |2.3.6|
"{emo,magno,lignum}",prud. epil. 24 |2.3.6|
"{emo,magno,parata}",prud. epil. 24 |2.3.5|
"{emo,magno,paratus}",prud. epil. 24 |2.3.5|
"{emo,magno,paro}",prud. epil. 24 |2.3.5|
"{emo,magno,sic}",prud. epil. 24 |2.3.4|
"{emo,magnus,ligno}",prud. epil. 24 |2.3.6|
"{emo,magnus,lignum}",prud. epil. 24 |2.3.6|
"{emo,magnus,parata}",prud. epil. 24 |2.3.5|
"{emo,magnus,paratus}",prud. epil. 24 |2.3.5|
"{emo,magnus,paro}",prud. epil. 24 |2.3.5|
"{emo,magnus,sic}",prud. epil. 24 |2.3.4|
"{emo,parata,ligno}",prud. epil. 24 |2.5.6|
"{emo,parata,lignum}",prud. epil. 24 |2.5.6|
"{emo,paratus,ligno}",prud. epil. 24 |2.5.6|
"{emo,paratus,lignum}",prud. epil. 24 |2.5.6|
"{emo,paro,ligno}",prud. epil. 24 |2.5.6|
"{emo,paro,lignum}",prud. epil. 24 |2.5.6|
"{emo,sic,ligno}",prud. epil. 24 |2.4.6|
"{emo,sic,lignum}",prud. epil. 24 |2.4.6|
"{emo,sic,parata}",prud. epil. 24 |2.4.5|
"{emo,sic,paratus}",prud. epil. 24 |2.4.5|
"{emo,sic,paro}",prud. epil. 24 |2.4.5|
"{empta,magno,ligno}",prud. epil. 24 |2.3.6|
"{empta,magno,lignum}",prud. epil. 24 |2.3.6|
"{empta,magno,parata}",prud. epil. 24 |2.3.5|
"{empta,magno,paratus}",prud. epil. 24 |2.3.5|
"{empta,magno,paro}",prud. epil. 24 |2.3.5|
"{empta,magno,sic}",prud. epil. 24 |2.3.4|
"{empta,magnus,ligno}",prud. epil. 24 |2.3.6|
"{empta,magnus,lignum}",prud. epil. 24 |2.3.6|
"{empta,magnus,parata}",prud. epil. 24 |2.3.5|
"{empta,magnus,paratus}",prud. epil. 24 |2.3.5|
"{empta,magnus,paro}",prud. epil. 24 |2.3.5|
"{empta,magnus,sic}",prud. epil. 24 |2.3.4|
"{empta,parata,ligno}",prud. epil. 24 |2.5.6|
"{empta,parata,lignum}",prud. epil. 24 |2.5.6|
"{empta,paratus,ligno}",prud. epil. 24 |2.5.6|
"{empta,paratus,lignum}",prud. epil. 24 |2.5.6|
"{empta,paro,ligno}",prud. epil. 24 |2.5.6|
"{empta,paro,lignum}",prud. epil. 24 |2.5.6|
"{empta,sic,ligno}",prud. epil. 24 |2.4.6|
"{empta,sic,lignum}",prud. epil. 24 |2.4.6|
"{empta,sic,parata}",prud. epil. 24 |2.4.5|
"{empta,sic,paratus}",prud. epil. 24 |2.4.5|
"{empta,sic,paro}",prud. epil. 24 |2.4.5|
"{emptum,magno,ligno}",prud. epil. 24 |2.3.6|
"{emptum,magno,lignum}",prud. epil. 24 |2.3.6|
"{emptum,magno,parata}",prud. epil. 24 |2.3.5|
"{emptum,magno,paratus}",prud. epil. 24 |2.3.5|
"{emptum,magno,paro}",prud. epil. 24 |2.3.5|
"{emptum,magno,sic}",prud. epil. 24 |2.3.4|
"{emptum,magnus,ligno}",prud. epil. 24 |2.3.6|
"{emptum,magnus,lignum}",prud. epil. 24 |2.3.6|
"{emptum,magnus,parata}",prud. epil. 24 |2.3.5|
"{emptum,magnus,paratus}",prud. epil. 24 |2.3.5|
"{emptum,magnus,paro}",prud. epil. 24 |2.3.5|
"{emptum,magnus,sic}",prud. epil. 24 |2.3.4|
"{emptum,parata,ligno}",prud. epil. 24 |2.5.6|
"{emptum,parata,lignum}",prud. epil. 24 |2.5.6|
"{emptum,paratus,ligno}",prud. epil. 24 |2.5.6|
"{emptum,paratus,lignum}",prud. epil. 24 |2.5.6|
"{emptum,paro,ligno}",prud. epil. 24 |2.5.6|
"{emptum,paro,lignum}",prud. epil. 24 |2.5.6|
"{emptum,sic,ligno}",prud. epil. 24 |2.4.6|
"{emptum,sic,lignum}",prud. epil. 24 |2.4.6|
"{emptum,sic,parata}",prud. epil. 24 |2.4.5|
"{emptum,sic,paratus}",prud. epil. 24 |2.4.5|
"{emptum,sic,paro}",prud. epil. 24 |2.4.5|
"{est,ad,congruens}",prud. epil. 22 |2.3.5|
"{est,ad,congruo}",prud. epil. 22 |2.3.5|
"{est,ad,erilem}",prud. epil. 22 |2.3.6|
"{est,ad,erilis}",prud. epil. 22 |2.3.6|
"{est,ad,usum}",prud. epil. 22 |2.3.4|
"{est,ad,usus}",prud. epil. 22 |2.3.4|
"{est,ad,utor}",prud. epil. 22 |2.3.4|
"{est,angulos,supellex}",prud. epil. 14 |2.5.6|
"{est,angulus,supellex}",prud. epil. 14 |2.5.6|
"{est,congruens,erilem}",prud. epil. 22 |2.5.6|
"{est,congruens,erilis}",prud. epil. 22 |2.5.6|
"{est,congruo,erilem}",prud. epil. 22 |2.5.6|
"{est,congruo,erilis}",prud. epil. 22 |2.5.6|
"{est,et,fictilis}",prud. epil. 17 |1.2.4|
"{est,et,ille}",prud. epil. 17 |1.2.3|
"{est,et,olla}",prud. epil. 17 |1.2.3|
"{est,et,ollus}",prud. epil. 17 |1.2.3|
"{est,ille,fictilis}",prud. epil. 17 |1.3.4|
"{est,olla,fictilis}",prud. epil. 17 |1.3.4|
"{est,ollus,fictilis}",prud. epil. 17 |1.3.4|
"{est,omnes,angulos}",prud. epil. 14 |2.4.5|
"{est,omnes,angulus}",prud. epil. 14 |2.4.5|
"{est,omnes,supellex}",prud. epil. 14 |2.4.6|
"{est,omnis,angulos}",prud. epil. 14 |2.4.5|
"{est,omnis,angulus}",prud. epil. 14 |2.4.5|
"{est,omnis,supellex}",prud. epil. 14 |2.4.6|
"{est,per,angulos}",prud. epil. 14 |2.3.5|
"{est,per,angulus}",prud. epil. 14 |2.3.5|
"{est,per,omnes}",prud. epil. 14 |2.3.4|
"{est,per,omnis}",prud. epil. 14 |2.3.4|
"{est,per,supellex}",prud. epil. 14 |2.3.6|
"{est,usum,congruens}",prud. epil. 22 |2.4.5|
"{est,usum,congruo}",prud. epil. 22 |2.4.5|
"{est,usum,erilem}",prud. epil. 22 |2.4.6|
"{est,usum,erilis}",prud. epil. 22 |2.4.6|
"{est,usus,congruens}",prud. epil. 22 |2.4.5|
"{est,usus,congruo}",prud. epil. 22 |2.4.5|
"{est,usus,erilem}",prud. epil. 22 |2.4.6|
"{est,usus,erilis}",prud. epil. 22 |2.4.6|
"{est,utor,congruens}",prud. epil. 22 |2.4.5|
"{est,utor,congruo}",prud. epil. 22 |2.4.5|
"{est,utor,erilem}",prud. epil. 22 |2.4.6|
"{est,utor,erilis}",prud. epil. 22 |2.4.6|
"{et,ampla,argentea}",prud. epil. 18 |2.3.4|
"{et,ampla,argenteus}",prud. epil. 18 |2.3.4|
"{et,ampla,est}",prud. epil. 18 |2.3.5|
"{et,ampla,parapsis}",prud. epil. 18 |2.3.6|
"{et,ampla,sum}",prud. epil. 18 |2.3.5|
"{et,amplo,argentea}",prud. epil. 18 |2.3.4|
"{et,amplo,argenteus}",prud. epil. 18 |2.3.4|
"{et,amplo,est}",prud. epil. 18 |2.3.5|
"{et,amplo,parapsis}",prud. epil. 18 |2.3.6|
"{et,amplo,sum}",prud. epil. 18 |2.3.5|
"{et,amplus,argentea}",prud. epil. 18 |2.3.4|
"{et,amplus,argenteus}",prud. epil. 18 |2.3.4|
"{et,amplus,est}",prud. epil. 18 |2.3.5|
"{et,amplus,parapsis}",prud. epil. 18 |2.3.6|
"{et,amplus,sum}",prud. epil. 18 |2.3.5|
"{et,argentea,est}",prud. epil. 18 |2.4.5|
"{et,argentea,parapsis}",prud. epil. 18 |2.4.6|
"{et,argentea,sum}",prud. epil. 18 |2.4.5|
"{et,argenteus,est}",prud. epil. 18 |2.4.5|
"{et,argenteus,parapsis}",prud. epil. 18 |2.4.6|
"{et,argenteus,sum}",prud. epil. 18 |2.4.5|
"{et,benignus,audio}",prud. epil. 12 |3.4.5|
"{et,benignus,audit}",prud. epil. 12 |3.4.5|
"{et,est,parapsis}",prud. epil. 18 |2.5.6|
"{et,ille,fictilis}",prud. epil. 17 |2.3.4|
"{et,olla,fictilis}",prud. epil. 17 |2.3.4|
"{et,ollus,fictilis}",prud. epil. 17 |2.3.4|
"{et,rotatiles,trochaeos}",prud. epil. 8 |2.3.4|
"{et,rotatiles,trochaeus}",prud. epil. 8 |2.3.4|
"{et,rotatilis,trochaeos}",prud. epil. 8 |2.3.4|
"{et,rotatilis,trochaeus}",prud. epil. 8 |2.3.4|
"{et,sum,parapsis}",prud. epil. 18 |2.5.6|
"{fidelis,innocens,pudicus}",prud. epil. 2 |2.3.4|
"{fulgeo,aureus,scyphus}",prud. epil. 15 |1.2.3|
"{fulget,aureus,scyphus}",prud. epil. 15 |1.2.3|
"{grauis,ampla,argentea}",prud. epil. 18 |1.3.4|
"{grauis,ampla,argenteus}",prud. epil. 18 |1.3.4|
"{grauis,ampla,est}",prud. epil. 18 |1.3.5|
"{grauis,ampla,parapsis}",prud. epil. 18 |1.3.6|
"{grauis,ampla,sum}",prud. epil. 18 |1.3.5|
"{grauis,amplo,argentea}",prud. epil. 18 |1.3.4|
"{grauis,amplo,argenteus}",prud. epil. 18 |1.3.4|
"{grauis,amplo,est}",prud. epil. 18 |1.3.5|
"{grauis,amplo,parapsis}",prud. epil. 18 |1.3.6|
"{grauis,amplo,sum}",prud. epil. 18 |1.3.5|
"{grauis,amplus,argentea}",prud. epil. 18 |1.3.4|
"{grauis,amplus,argenteus}",prud. epil. 18 |1.3.4|
"{grauis,amplus,est}",prud. epil. 18 |1.3.5|
"{grauis,amplus,parapsis}",prud. epil. 18 |1.3.6|
"{grauis,amplus,sum}",prud. epil. 18 |1.3.5|
"{grauis,argentea,est}",prud. epil. 18 |1.4.5|
"{grauis,argentea,parapsis}",prud. epil. 18 |1.4.6|
"{grauis,argentea,sum}",prud. epil. 18 |1.4.5|
"{grauis,argenteus,est}",prud. epil. 18 |1.4.5|
"{grauis,argenteus,parapsis}",prud. epil. 18 |1.4.6|
"{grauis,argenteus,sum}",prud. epil. 18 |1.4.5|
"{grauis,est,parapsis}",prud. epil. 18 |1.5.6|
"{grauis,et,ampla}",prud. epil. 18 |1.2.3|
"{grauis,et,amplo}",prud. epil. 18 |1.2.3|
"{grauis,et,amplus}",prud. epil. 18 |1.2.3|
"{grauis,et,argentea}",prud. epil. 18 |1.2.4|
"{grauis,et,argenteus}",prud. epil. 18 |1.2.4|
"{grauis,et,est}",prud. epil. 18 |1.2.5|
"{grauis,et,parapsis}",prud. epil. 18 |1.2.6|
"{grauis,et,sum}",prud. epil. 18 |1.2.5|
"{grauis,sum,parapsis}",prud. epil. 18 |1.5.6|
"{grauisque,ampla,argentea}",prud. epil. 18 |1.3.4|
"{grauisque,ampla,argenteus}",prud. epil. 18 |1.3.4|
"{grauisque,ampla,est}",prud. epil. 18 |1.3.5|
"{grauisque,ampla,parapsis}",prud. epil. 18 |1.3.6|
"{grauisque,ampla,sum}",prud. epil. 18 |1.3.5|
"{grauisque,amplo,argentea}",prud. epil. 18 |1.3.4|
"{grauisque,amplo,argenteus}",prud. epil. 18 |1.3.4|
"{grauisque,amplo,est}",prud. epil. 18 |1.3.5|
"{grauisque,amplo,parapsis}",prud. epil. 18 |1.3.6|
"{grauisque,amplo,sum}",prud. epil. 18 |1.3.5|
"{grauisque,amplus,argentea}",prud. epil. 18 |1.3.4|
"{grauisque,amplus,argenteus}",prud. epil. 18 |1.3.4|
"{grauisque,amplus,est}",prud. epil. 18 |1.3.5|
"{grauisque,amplus,parapsis}",prud. epil. 18 |1.3.6|
"{grauisque,amplus,sum}",prud. epil. 18 |1.3.5|
"{grauisque,argentea,est}",prud. epil. 18 |1.4.5|
"{grauisque,argentea,parapsis}",prud. epil. 18 |1.4.6|
"{grauisque,argentea,sum}",prud. epil. 18 |1.4.5|
"{grauisque,argenteus,est}",prud. epil. 18 |1.4.5|
"{grauisque,argenteus,parapsis}",prud. epil. 18 |1.4.6|
"{grauisque,argenteus,sum}",prud. epil. 18 |1.4.5|
"{grauisque,est,parapsis}",prud. epil. 18 |1.5.6|
"{grauisque,et,ampla}",prud. epil. 18 |1.2.3|
"{grauisque,et,amplo}",prud. epil. 18 |1.2.3|
"{grauisque,et,amplus}",prud. epil. 18 |1.2.3|
"{grauisque,et,argentea}",prud. epil. 18 |1.2.4|
"{grauisque,et,argenteus}",prud. epil. 18 |1.2.4|
"{grauisque,et,est}",prud. epil. 18 |1.2.5|
"{grauisque,et,parapsis}",prud. epil. 18 |1.2.6|
"{grauisque,et,sum}",prud. epil. 18 |1.2.5|
"{grauisque,sum,parapsis}",prud. epil. 18 |1.5.6|
"{in,anguli,maneo}",prud. epil. 28 |3.4.5|
"{in,anguli,manere}",prud. epil. 28 |3.4.5|
"{in,anguli,mano}",prud. epil. 28 |3.4.5|
"{in,angulus,maneo}",prud. epil. 28 |3.4.5|
"{in,angulus,manere}",prud. epil. 28 |3.4.5|
"{in,angulus,mano}",prud. epil. 28 |3.4.5|
"{ineo,intra,regia}",prud. epil. 30 |1.2.3|
"{ineo,intra,regiam}",prud. epil. 30 |1.2.3|
"{ineo,intra,regius}",prud. epil. 30 |1.2.3|
"{ineo,intra,salus}",prud. epil. 30 |1.2.4|
"{ineo,intra,salutis}",prud. epil. 30 |1.2.4|
"{ineo,intro,regia}",prud. epil. 30 |1.2.3|
"{ineo,intro,regiam}",prud. epil. 30 |1.2.3|
"{ineo,intro,regius}",prud. epil. 30 |1.2.3|
"{ineo,intro,salus}",prud. epil. 30 |1.2.4|
"{ineo,intro,salutis}",prud. epil. 30 |1.2.4|
"{ineo,regia,salus}",prud. epil. 30 |1.3.4|
"{ineo,regia,salutis}",prud. epil. 30 |1.3.4|
"{ineo,regiam,salus}",prud. epil. 30 |1.3.4|
"{ineo,regiam,salutis}",prud. epil. 30 |1.3.4|
"{ineo,regius,salus}",prud. epil. 30 |1.3.4|
"{ineo,regius,salutis}",prud. epil. 30 |1.3.4|
"{inimus,intra,regia}",prud. epil. 30 |1.2.3|
"{inimus,intra,regiam}",prud. epil. 30 |1.2.3|
"{inimus,intra,regius}",prud. epil. 30 |1.2.3|
"{inimus,intra,salus}",prud. epil. 30 |1.2.4|
"{inimus,intra,salutis}",prud. epil. 30 |1.2.4|
"{inimus,intro,regia}",prud. epil. 30 |1.2.3|
"{inimus,intro,regiam}",prud. epil. 30 |1.2.3|
"{inimus,intro,regius}",prud. epil. 30 |1.2.3|
"{inimus,intro,salus}",prud. epil. 30 |1.2.4|
"{inimus,intro,salutis}",prud. epil. 30 |1.2.4|
"{inimus,regia,salus}",prud. epil. 30 |1.3.4|
"{inimus,regia,salutis}",prud. epil. 30 |1.3.4|
"{inimus,regiam,salus}",prud. epil. 30 |1.3.4|
"{inimus,regiam,salutis}",prud. epil. 30 |1.3.4|
"{inimus,regius,salus}",prud. epil. 30 |1.3.4|
"{inimus,regius,salutis}",prud. epil. 30 |1.3.4|
"{inmolat,deo,pater}",prud. epil. 1 |1.2.3|
"{inmolat,deo,patri}",prud. epil. 1 |1.2.3|
"{inmolat,deo,patrium}",prud. epil. 1 |1.2.3|
"{inmolat,deo,patrius}",prud. epil. 1 |1.2.3|
"{inmolat,deus,pater}",prud. epil. 1 |1.2.3|
"{inmolat,deus,patri}",prud. epil. 1 |1.2.3|
"{inmolat,deus,patrium}",prud. epil. 1 |1.2.3|
"{inmolat,deus,patrius}",prud. epil. 1 |1.2.3|
"{inmolo,deo,pater}",prud. epil. 1 |1.2.3|
"{inmolo,deo,patri}",prud. epil. 1 |1.2.3|
"{inmolo,deo,patrium}",prud. epil. 1 |1.2.3|
"{inmolo,deo,patrius}",prud. epil. 1 |1.2.3|
"{inmolo,deus,pater}",prud. epil. 1 |1.2.3|
"{inmolo,deus,patri}",prud. epil. 1 |1.2.3|
"{inmolo,deus,patrium}",prud. epil. 1 |1.2.3|
"{inmolo,deus,patrius}",prud. epil. 1 |1.2.3|
"{instruo,enim,domum}",prud. epil. 23 |1.2.3|
"{instruo,enim,domus}",prud. epil. 23 |1.2.3|
"{instruunt,enim,domum}",prud. epil. 23 |1.2.3|
"{instruunt,enim,domus}",prud. epil. 23 |1.2.3|
"{intra,regia,salus}",prud. epil. 30 |2.3.4|
"{intra,regia,salutis}",prud. epil. 30 |2.3.4|
"{intra,regiam,salus}",prud. epil. 30 |2.3.4|
"{intra,regiam,salutis}",prud. epil. 30 |2.3.4|
"{intra,regius,salus}",prud. epil. 30 |2.3.4|
"{intra,regius,salutis}",prud. epil. 30 |2.3.4|
"{intro,regia,salus}",prud. epil. 30 |2.3.4|
"{intro,regia,salutis}",prud. epil. 30 |2.3.4|
"{intro,regiam,salus}",prud. epil. 30 |2.3.4|
"{intro,regiam,salutis}",prud. epil. 30 |2.3.4|
"{intro,regius,salus}",prud. epil. 30 |2.3.4|
"{intro,regius,salutis}",prud. epil. 30 |2.3.4|
"{iuuabit,aurum,christum}",prud. epil. 34 |1.2.4|
"{iuuabit,aurum,christus}",prud. epil. 34 |1.2.4|
"{iuuabit,aurum,personasse}",prud. epil. 34 |1.2.3|
