n-gram (n =2),Location
"{accipe,monumentum}",prud. ham. 2.723 |1.3|
"{accipe,rerum}",prud. ham. 2.723 |1.5|
"{accipe,res}",prud. ham. 2.723 |1.5|
"{accipio,gero}",prud. ham. 2.723 |1.2|
"{accipio,gestarum}",prud. ham. 2.723 |1.2|
"{accipio,insigne}",prud. ham. 2.723 |1.4|
"{accipio,insignia}",prud. ham. 2.723 |1.4|
"{accipio,insignis}",prud. ham. 2.723 |1.4|
"{accipio,monumenta}",prud. ham. 2.723 |1.3|
"{accipio,monumentum}",prud. ham. 2.723 |1.3|
"{accipio,rerum}",prud. ham. 2.723 |1.5|
"{accipio,res}",prud. ham. 2.723 |1.5|
"{accola,magni}",prud. ham. 2.496 |6.7|
"{accola,magnus}",prud. ham. 2.496 |6.7|
"{accuset,est}",prud. ham. 2.524 |2.4|
"{accuset,facile}",prud. ham. 2.524 |2.3|
"{accuset,facilis}",prud. ham. 2.524 |2.3|
"{accuset,frenare}",prud. ham. 2.524 |2.5|
"{accuset,freno}",prud. ham. 2.524 |2.5|
"{accuset,rebelles}",prud. ham. 2.524 |2.6|
"{accuset,rebellis}",prud. ham. 2.524 |2.6|
"{accuset,rebello}",prud. ham. 2.524 |2.6|
"{accuset,sum}",prud. ham. 2.524 |2.4|
"{accuso,est}",prud. ham. 2.524 |2.4|
"{accuso,facile}",prud. ham. 2.524 |2.3|
"{accuso,facilis}",prud. ham. 2.524 |2.3|
"{accuso,frenare}",prud. ham. 2.524 |2.5|
"{accuso,freno}",prud. ham. 2.524 |2.5|
"{accuso,rebelles}",prud. ham. 2.524 |2.6|
"{accuso,rebellis}",prud. ham. 2.524 |2.6|
"{accuso,rebello}",prud. ham. 2.524 |2.6|
"{accuso,sum}",prud. ham. 2.524 |2.4|
"{acerba,medulla}",prud. ham. 2.196 |6.7|
"{acerba,medullis}",prud. ham. 2.196 |6.7|
"{acerba,medullum}",prud. ham. 2.196 |6.7|
"{acerba,medullus}",prud. ham. 2.196 |6.7|
"{acerbo,medulla}",prud. ham. 2.196 |6.7|
"{acerbo,medullis}",prud. ham. 2.196 |6.7|
"{acerbo,medullum}",prud. ham. 2.196 |6.7|
"{acerbo,medullus}",prud. ham. 2.196 |6.7|
"{acerbum,medulla}",prud. ham. 2.196 |6.7|
"{acerbum,medullis}",prud. ham. 2.196 |6.7|
"{acerbum,medullum}",prud. ham. 2.196 |6.7|
"{acerbum,medullus}",prud. ham. 2.196 |6.7|
"{acerbus,medulla}",prud. ham. 2.196 |6.7|
"{acerbus,medullis}",prud. ham. 2.196 |6.7|
"{acerbus,medullum}",prud. ham. 2.196 |6.7|
"{acerbus,medullus}",prud. ham. 2.196 |6.7|
"{acide,acerba}",prud. ham. 2.196 |3.6|
"{acide,acerbo}",prud. ham. 2.196 |3.6|
"{acide,acerbum}",prud. ham. 2.196 |3.6|
"{acide,acerbus}",prud. ham. 2.196 |3.6|
"{acide,medulla}",prud. ham. 2.196 |3.7|
"{acide,medullis}",prud. ham. 2.196 |3.7|
"{acide,medullum}",prud. ham. 2.196 |3.7|
"{acide,medullus}",prud. ham. 2.196 |3.7|
"{acide,traho}",prud. ham. 2.196 |3.5|
"{acide,traxit}",prud. ham. 2.196 |3.5|
"{acide,uim}",prud. ham. 2.196 |3.4|
"{acide,uis}",prud. ham. 2.196 |3.4|
"{acidis,acerba}",prud. ham. 2.196 |3.6|
"{acidis,acerbo}",prud. ham. 2.196 |3.6|
"{acidis,acerbum}",prud. ham. 2.196 |3.6|
"{acidis,acerbus}",prud. ham. 2.196 |3.6|
"{acidis,medulla}",prud. ham. 2.196 |3.7|
"{acidis,medullis}",prud. ham. 2.196 |3.7|
"{acidis,medullum}",prud. ham. 2.196 |3.7|
"{acidis,medullus}",prud. ham. 2.196 |3.7|
"{acidis,traho}",prud. ham. 2.196 |3.5|
"{acidis,traxit}",prud. ham. 2.196 |3.5|
"{acidis,uim}",prud. ham. 2.196 |3.4|
"{acidis,uis}",prud. ham. 2.196 |3.4|
"{acidus,acerba}",prud. ham. 2.196 |3.6|
"{acidus,acerbo}",prud. ham. 2.196 |3.6|
"{acidus,acerbum}",prud. ham. 2.196 |3.6|
"{acidus,acerbus}",prud. ham. 2.196 |3.6|
"{acidus,medulla}",prud. ham. 2.196 |3.7|
"{acidus,medullis}",prud. ham. 2.196 |3.7|
"{acidus,medullum}",prud. ham. 2.196 |3.7|
"{acidus,medullus}",prud. ham. 2.196 |3.7|
"{acidus,traho}",prud. ham. 2.196 |3.5|
"{acidus,traxit}",prud. ham. 2.196 |3.5|
"{acidus,uim}",prud. ham. 2.196 |3.4|
"{acidus,uis}",prud. ham. 2.196 |3.4|
"{aciem,adorat}",prud. ham. 2.152 |3.5|
"{aciem,adoro}",prud. ham. 2.152 |3.5|
