n-gram (n =2),Location
"{merito,et}",prud. ham. 2.40 |3.7|
"{merito,magna}",prud. ham. 2.865 |2.5|
"{merito,magnus}",prud. ham. 2.865 |2.5|
"{merito,notari}",prud. ham. 2.865 |2.6|
"{merito,notarius}",prud. ham. 2.865 |2.6|
"{merito,noto}",prud. ham. 2.865 |2.6|
"{merito,per}",prud. ham. 2.865 |2.4|
"{merito,primus}",prud. ham. 2.40 |3.6|
"{merito,quia}",prud. ham. 2.40 |3.5|
"{merito,uices}",prud. ham. 2.865 |2.3|
"{merito,uicis}",prud. ham. 2.865 |2.3|
"{merito,unus}",prud. ham. 2.40 |3.8|
"{meritoque,deus}",prud. ham. 2.40 |3.2|
"{meritoque,et}",prud. ham. 2.40 |3.7|
"{meritoque,primus}",prud. ham. 2.40 |3.6|
"{meritoque,quia}",prud. ham. 2.40 |3.5|
"{meritoque,unus}",prud. ham. 2.40 |3.8|
"{meritoria,templa}",prud. ham. 2.761 |3.4|
"{meritoria,templum}",prud. ham. 2.761 |3.4|
"{meritoria,theatra}",prud. ham. 2.761 |3.5|
"{meritoria,theatrum}",prud. ham. 2.761 |3.5|
"{meritorium,templa}",prud. ham. 2.761 |3.4|
"{meritorium,templum}",prud. ham. 2.761 |3.4|
"{meritorium,theatra}",prud. ham. 2.761 |3.5|
"{meritorium,theatrum}",prud. ham. 2.761 |3.5|
"{meritorius,templa}",prud. ham. 2.761 |3.4|
"{meritorius,templum}",prud. ham. 2.761 |3.4|
"{meritorius,theatra}",prud. ham. 2.761 |3.5|
"{meritorius,theatrum}",prud. ham. 2.761 |3.5|
"{meritorum,cerno}",prud. ham. 2.930 |4.6|
"{meritorum,cernunt}",prud. ham. 2.930 |4.6|
"{meritorum,mutua}",prud. ham. 2.930 |4.5|
"{meritorum,mutuo}",prud. ham. 2.930 |4.5|
"{meritorum,mutuum}",prud. ham. 2.930 |4.5|
"{meritorum,mutuus}",prud. ham. 2.930 |4.5|
"{meritorum,sinister}",prud. ham. 2.888 |5.7|
"{meritorum,sinistri}",prud. ham. 2.888 |5.7|
"{meritorum,sinistrum}",prud. ham. 2.888 |5.7|
"{meritorum,summa}",prud. ham. 2.888 |5.6|
"{meritorum,summum}",prud. ham. 2.888 |5.6|
"{meritorum,superus}",prud. ham. 2.888 |5.6|
"{meritum,cerno}",prud. ham. 2.930 |4.6|
"{meritum,cernunt}",prud. ham. 2.930 |4.6|
"{meritum,certo}",prud. ham. 2.688 |7.9|
"{meritum,certus}",prud. ham. 2.688 |7.9|
"{meritum,deus}",prud. ham. 2.40 |3.2|
"{meritum,et}",prud. ham. 2.40 |3.7|
"{meritum,iste}",prud. ham. 2.665 |6.8|
"{meritum,mutua}",prud. ham. 2.930 |4.5|
"{meritum,mutuo}",prud. ham. 2.930 |4.5|
"{meritum,mutuum}",prud. ham. 2.930 |4.5|
"{meritum,mutuus}",prud. ham. 2.930 |4.5|
"{meritum,pereo}",prud. ham. 2.665 |6.7|
"{meritum,perit}",prud. ham. 2.665 |6.7|
"{meritum,primus}",prud. ham. 2.40 |3.6|
"{meritum,quia}",prud. ham. 2.40 |3.5|
"{meritum,resoluit}",prud. ham. 2.666 |5.6|
"{meritum,resoluo}",prud. ham. 2.666 |5.6|
"{meritum,sine}",prud. ham. 2.688 |7.8|
"{meritum,sinis}",prud. ham. 2.688 |7.8|
"{meritum,sinister}",prud. ham. 2.888 |5.7|
"{meritum,sinistri}",prud. ham. 2.888 |5.7|
"{meritum,sinistrum}",prud. ham. 2.888 |5.7|
"{meritum,sino}",prud. ham. 2.688 |7.8|
"{meritum,sinum}",prud. ham. 2.688 |7.8|
"{meritum,summa}",prud. ham. 2.888 |5.6|
"{meritum,summum}",prud. ham. 2.888 |5.6|
"{meritum,superus}",prud. ham. 2.888 |5.6|
"{meritum,unus}",prud. ham. 2.40 |3.8|
"{meritumque,resoluit}",prud. ham. 2.666 |5.6|
"{meritumque,resoluo}",prud. ham. 2.666 |5.6|
"{mersam,fornacibus}",prud. ham. 2.960 |4.5|
"{mersam,fornax}",prud. ham. 2.960 |4.5|
"{mersam,imi}",prud. ham. 2.960 |4.6|
"{mersam,imis}",prud. ham. 2.960 |4.6|
"{mersam,imus}",prud. ham. 2.960 |4.6|
"{mersandam,abyssi}",prud. ham. 2.833 |1.5|
"{mersandam,abyssus}",prud. ham. 2.833 |1.5|
"{mersandam,feruentis}",prud. ham. 2.833 |1.4|
"{mersandam,ferueo}",prud. ham. 2.833 |1.4|
"{mersandam,feruo}",prud. ham. 2.833 |1.4|
"{mersandam,penitus}",prud. ham. 2.833 |1.2|
"{mersandam,puteo}",prud. ham. 2.833 |1.3|
"{mersandam,puteus}",prud. ham. 2.833 |1.3|
"{merui,arbiter}",prud. ham. 2.938 |3.7|
"{merui,aufer}",prud. ham. 2.938 |3.8|
"{merui,aufero}",prud. ham. 2.938 |3.8|
"{merui,bonus}","prud. ham. 2.938 |3.6| , prud. ham. 2.939 |2.3|"
"{merui,fauens}",prud. ham. 2.939 |2.4|
"{merui,faueo}",prud. ham. 2.939 |2.4|
"{merui,largior}",prud. ham. 2.939 |2.5|
"{merui,largire}",prud. ham. 2.939 |2.5|
"{merui,meliora}",prud. ham. 2.939 |2.3|
"{merui,melioro}",prud. ham. 2.939 |2.3|
"{merui,precanti}",prud. ham. 2.939 |2.6|
"{merui,preco}",prud. ham. 2.939 |2.6|
"{merui,precor}",prud. ham. 2.939 |2.6|
"{merui,sed}",prud. ham. 2.938 |3.4|
"{merui,tu}",prud. ham. 2.938 |3.5|
"{meruit,adscio}",prud. ham. 2.786 |4.6|
"{meruit,adscita}",prud. ham. 2.786 |4.6|
"{meruit,castoque}",prud. ham. 2.786 |4.5|
"{meruit,cubile}",prud. ham. 2.786 |4.7|
"{meruit,cubili}",prud. ham. 2.786 |4.7|
"{meruit,femina}",prud. ham. 2.754 |2.5|
"{meruit,femino}",prud. ham. 2.754 |2.5|
"{meruit,peccatrix}",prud. ham. 2.754 |2.4|
"{meruit,sino}",prud. ham. 2.754 |2.6|
"{meruit,sisti}",prud. ham. 2.754 |2.6|
"{meruit,sisto}",prud. ham. 2.754 |2.6|
"{meruit,titulo}",prud. ham. 2.754 |2.3|
"{meruit,titulus}",prud. ham. 2.754 |2.3|
"{meum,aio}",prud. ham. 2.627 |2.5|
"{meum,ait}",prud. ham. 2.627 |2.5|
"{meum,genitos}",prud. ham. 2.627 |2.3|
"{meum,gigno}",prud. ham. 2.627 |2.3|
"{meum,pietas’}",prud. ham. 2.627 |2.4|
"{meum,probaret}",prud. ham. 2.627 |2.7|
"{meum,probo}",prud. ham. 2.627 |2.7|
"{meum,‘ipsa}",prud. ham. 2.627 |2.6|
"{meus,aio}",prud. ham. 2.627 |2.5|
"{meus,ait}",prud. ham. 2.627 |2.5|
"{meus,claude}",prud. ham. 2.650 |5.7|
"{meus,claudo}",prud. ham. 2.650 |5.7|
"{meus,claudus}",prud. ham. 2.650 |5.7|
"{meus,corporis}",prud. ham. 2.940 |4.6|
"{meus,corpus}",prud. ham. 2.940 |4.6|
"{meus,cum}",prud. ham. 2.940 |4.5|
"{meus,et}",prud. ham. 2.650 |5.6|
"{meus,genitos}",prud. ham. 2.627 |2.3|
"{meus,gigno}",prud. ham. 2.627 |2.3|
"{meus,hic}",prud. ham. 2.940 |4.7|
"{meus,huius}",prud. ham. 2.940 |4.7|
"{meus,meatus}",prud. ham. 2.650 |5.8|
"{meus,meo}",prud. ham. 2.650 |5.8|
"{meus,pietas’}",prud. ham. 2.627 |2.4|
"{meus,probaret}",prud. ham. 2.627 |2.7|
"{meus,probo}",prud. ham. 2.627 |2.7|
"{meus,‘ipsa}",prud. ham. 2.627 |2.6|
"{micant,radiantque}",prud. ham. 2.418 |3.4|
"{micant,radio}",prud. ham. 2.418 |3.4|
"{micat,ars}",prud. ham. 2.201 |5.6|
"{micat,arte}",prud. ham. 2.201 |5.6|
"{micat,artum}",prud. ham. 2.201 |5.6|
"{micat,artus}",prud. ham. 2.201 |5.6|
"{micat,loquendi}",prud. ham. 2.201 |5.7|
"{micat,loquor}",prud. ham. 2.201 |5.7|
"{mico,ars}",prud. ham. 2.201 |5.6|
"{mico,arte}",prud. ham. 2.201 |5.6|
"{mico,artum}",prud. ham. 2.201 |5.6|
"{mico,artus}",prud. ham. 2.201 |5.6|
"{mico,loquendi}",prud. ham. 2.201 |5.7|
"{mico,loquor}",prud. ham. 2.201 |5.7|
"{mico,radiantque}",prud. ham. 2.418 |3.4|
"{mico,radio}",prud. ham. 2.418 |3.4|
"{mico,tyrannum}",prud. ham. 2.175 |6.7|
"{mico,tyrannus}",prud. ham. 2.175 |6.7|
"{micuisse,tyrannum}",prud. ham. 2.175 |6.7|
"{micuisse,tyrannus}",prud. ham. 2.175 |6.7|
"{mihi,est}",prud. ham. 2.958 |2.5|
"{mihi,minister}",prud. ham. 2.958 |2.8|
"{mihi,ministri}",prud. ham. 2.958 |2.8|
"{mihi,nulla}",prud. ham. 2.958 |2.7|
"{mihi,nullus}",prud. ham. 2.958 |2.7|
"{mihi,sata}",prud. ham. 2.958 |2.4|
"{mihi,satis}",prud. ham. 2.958 |2.4|
"{mihi,satum}",prud. ham. 2.958 |2.4|
"{mihi,sero}",prud. ham. 2.958 |2.4|
"{mihi,si}",prud. ham. 2.958 |2.6|
"{mihi,sol}",prud. ham. 2.700 |5.7|
"{mihi,soli}",prud. ham. 2.700 |5.7|
"{mihi,solium}",prud. ham. 2.700 |5.7|
"{mihi,solum}",prud. ham. 2.700 |5.7|
"{mihi,solus}",prud. ham. 2.700 |5.7|
"{mihi,subdere}",prud. ham. 2.700 |5.6|
"{mihi,subdo}",prud. ham. 2.700 |5.6|
"{mihi,sum}",prud. ham. 2.958 |2.5|
"{mihi,tartarei}",prud. ham. 2.958 |2.3|
"{mihi,tartareus}",prud. ham. 2.958 |2.3|
"{milia,contendo}",prud. ham. 2.96 |1.5|
"{milia,contenta}",prud. ham. 2.96 |1.5|
"{milia,contentus}",prud. ham. 2.96 |1.5|
"{milia,contineo}",prud. ham. 2.96 |1.5|
"{milia,cur}",prud. ham. 2.96 |1.2|
"{milia,deeo}",prud. ham. 2.96 |1.4|
"{milia,deitas}",prud. ham. 2.96 |1.4|
"{milia,est}",prud. ham. 2.96 |1.7|
"{milia,gemello}",prud. ham. 2.96 |1.6|
"{milia,gemellus}",prud. ham. 2.96 |1.6|
"{milia,gergeseorum}",prud. ham. 2.413 |4.5|
"{milia,numero}",prud. ham. 2.96 |1.3|
"{milia,numerus}",prud. ham. 2.96 |1.3|
"{milia,sum}",prud. ham. 2.96 |1.7|
"{militat,anima}",prud. ham. 2.394 |1.3|
"{militat,animas}",prud. ham. 2.394 |1.3|
"{militat,animo}",prud. ham. 2.394 |1.3|
"{militat,arma}",prud. ham. 2.394 |1.5|
"{militat,armis}",prud. ham. 2.394 |1.5|
"{militat,armus}",prud. ham. 2.394 |1.5|
"{militat,circumsidet}",prud. ham. 2.394 |1.4|
"{militat,circumsido}",prud. ham. 2.394 |1.4|
"{militat,horrendisque}",prud. ham. 2.394 |1.2|
"{militat,horreo}",prud. ham. 2.394 |1.2|
"{militet,ac}",prud. ham. 2.548 |1.2|
"{militet,atque}",prud. ham. 2.548 |1.2|
"{militet,mundum}",prud. ham. 2.548 |1.6|
"{militet,mundus}",prud. ham. 2.548 |1.6|
"{militet,proculcet}",prud. ham. 2.548 |1.4|
"{militet,proculco}",prud. ham. 2.548 |1.4|
"{militet,sobria}",prud. ham. 2.548 |1.5|
"{militet,sobrio}",prud. ham. 2.548 |1.5|
"{militet,sobrius}",prud. ham. 2.548 |1.5|
"{militet,uictum}",prud. ham. 2.548 |1.3|
"{militet,uictus}",prud. ham. 2.548 |1.3|
"{militet,uinco}",prud. ham. 2.548 |1.3|
"{militet,uiuo}",prud. ham. 2.548 |1.3|
"{milito,ac}",prud. ham. 2.548 |1.2|
"{milito,anima}",prud. ham. 2.394 |1.3|
"{milito,animas}",prud. ham. 2.394 |1.3|
"{milito,animo}",prud. ham. 2.394 |1.3|
"{milito,arma}",prud. ham. 2.394 |1.5|
"{milito,armis}",prud. ham. 2.394 |1.5|
"{milito,armus}",prud. ham. 2.394 |1.5|
"{milito,atque}",prud. ham. 2.548 |1.2|
"{milito,circumsidet}",prud. ham. 2.394 |1.4|
"{milito,circumsido}",prud. ham. 2.394 |1.4|
"{milito,horrendisque}",prud. ham. 2.394 |1.2|
"{milito,horreo}",prud. ham. 2.394 |1.2|
"{milito,mundum}",prud. ham. 2.548 |1.6|
"{milito,mundus}",prud. ham. 2.548 |1.6|
"{milito,proculcet}",prud. ham. 2.548 |1.4|
"{milito,proculco}",prud. ham. 2.548 |1.4|
"{milito,sobria}",prud. ham. 2.548 |1.5|
"{milito,sobrio}",prud. ham. 2.548 |1.5|
"{milito,sobrius}",prud. ham. 2.548 |1.5|
"{milito,uictum}",prud. ham. 2.548 |1.3|
"{milito,uictus}",prud. ham. 2.548 |1.3|
"{milito,uinco}",prud. ham. 2.548 |1.3|
"{milito,uiuo}",prud. ham. 2.548 |1.3|
"{milium,contendo}",prud. ham. 2.96 |1.5|
"{milium,contenta}",prud. ham. 2.96 |1.5|
"{milium,contentus}",prud. ham. 2.96 |1.5|
"{milium,contineo}",prud. ham. 2.96 |1.5|
"{milium,cur}",prud. ham. 2.96 |1.2|
"{milium,deeo}",prud. ham. 2.96 |1.4|
"{milium,deitas}",prud. ham. 2.96 |1.4|
"{milium,est}",prud. ham. 2.96 |1.7|
"{milium,gemello}",prud. ham. 2.96 |1.6|
"{milium,gemellus}",prud. ham. 2.96 |1.6|
"{milium,gergeseorum}",prud. ham. 2.413 |4.5|
"{milium,numero}",prud. ham. 2.96 |1.3|
"{milium,numerus}",prud. ham. 2.96 |1.3|
"{milium,sum}",prud. ham. 2.96 |1.7|
"{mille,alia}",prud. ham. 2.375 |1.2|
"{mille,alias}",prud. ham. 2.375 |1.2|
"{mille,alius}",prud. ham. 2.375 |1.2|
"{mille,allia}",prud. ham. 2.375 |1.2|
"{mille,allium}",prud. ham. 2.375 |1.2|
"{mille,bacchantia}",prud. ham. 2.375 |1.4|
"{mille,catena}",prud. ham. 2.434 |5.6|
"{mille,catenis}",prud. ham. 2.434 |5.6|
"{mille,contendo}",prud. ham. 2.96 |1.5|
"{mille,contenta}",prud. ham. 2.96 |1.5|
"{mille,contentus}",prud. ham. 2.96 |1.5|
"{mille,contineo}",prud. ham. 2.96 |1.5|
"{mille,cur}",prud. ham. 2.96 |1.2|
"{mille,deeo}",prud. ham. 2.96 |1.4|
"{mille,deitas}",prud. ham. 2.96 |1.4|
"{mille,dum}",prud. ham. 2.618 |1.4|
"{mille,est}",prud. ham. 2.96 |1.7|
"{mille,ex}",prud. ham. 2.618 |1.6|
"{mille,gaudia}",prud. ham. 2.375 |1.5|
"{mille,gaudium}",prud. ham. 2.375 |1.5|
"{mille,gemello}",prud. ham. 2.96 |1.6|
"{mille,gemellus}",prud. ham. 2.96 |1.6|
"{mille,gergeseorum}",prud. ham. 2.413 |4.5|
"{mille,mundi}",prud. ham. 2.375 |1.6|
"{mille,mundus}",prud. ham. 2.375 |1.6|
"{mille,numero}",prud. ham. 2.96 |1.3|
"{mille,numerus}",prud. ham. 2.96 |1.3|
"{mille,parturio}",prud. ham. 2.618 |1.5|
"{mille,parturit}",prud. ham. 2.618 |1.5|
"{mille,puerperiis}",prud. ham. 2.618 |1.2|
"{mille,puerperium}",prud. ham. 2.618 |1.2|
"{mille,se}",prud. ham. 2.618 |1.7|
"{mille,stolidi}",prud. ham. 2.375 |1.3|
"{mille,stolidus}",prud. ham. 2.375 |1.3|
"{mille,suboleo}",prud. ham. 2.618 |1.3|
"{mille,suboles}",prud. ham. 2.618 |1.3|
"{mille,sui}",prud. ham. 2.618 |1.7|
"{mille,sum}",prud. ham. 2.96 |1.7|
"{minimis,grande}",prud. ham. 2.81 |2.4|
"{minimis,grandis}",prud. ham. 2.81 |2.4|
"{minimis,ipse}",prud. ham. 2.81 |2.8|
"{minimis,pater}",prud. ham. 2.81 |2.7|
"{minimis,sed}",prud. ham. 2.81 |2.3|
"{minimis,suum}",prud. ham. 2.81 |2.5|
"{minimis,suus}",prud. ham. 2.81 |2.5|
"{minimis,uolo}",prud. ham. 2.81 |2.6|
"{minimis,uoluit}",prud. ham. 2.81 |2.6|
"{minimis,uoluo}",prud. ham. 2.81 |2.6|
"{minimum,damnosae}",prud. ham. 2.951 |2.3|
"{minimum,damnosus}",prud. ham. 2.951 |2.3|
"{minimum,debeo}",prud. ham. 2.951 |2.4|
"{minimum,debita}",prud. ham. 2.951 |2.4|
"{minimum,debitum}",prud. ham. 2.951 |2.4|
"{minimum,uita}",prud. ham. 2.951 |2.5|
"{minimum,uitae}",prud. ham. 2.951 |2.5|
"{minoris,comprobo}",prud. ham. 1.8 |2.3|
"{minoris,conprobauit}",prud. ham. 1.8 |2.3|
"{minoris,hostia}",prud. ham. 1.8 |2.4|
"{minoris,hostiam}",prud. ham. 1.8 |2.4|
"{minoris,hostio}",prud. ham. 1.8 |2.4|
"{minoris,hostius}",prud. ham. 1.8 |2.4|
"{minuo,dispar}",prud. ham. 2.21 |6.7|
"{minuo,dispare}",prud. ham. 2.21 |6.7|
"{minuo,dispareo}",prud. ham. 2.21 |6.7|
"{minuo,summa}",prud. ham. 2.21 |6.8|
"{minuo,summum}",prud. ham. 2.21 |6.8|
"{minuo,superus}",prud. ham. 2.21 |6.8|
"{minuuntur,dispar}",prud. ham. 2.21 |6.7|
"{minuuntur,dispare}",prud. ham. 2.21 |6.7|
"{minuuntur,dispareo}",prud. ham. 2.21 |6.7|
"{minuuntur,summa}",prud. ham. 2.21 |6.8|
"{minuuntur,summum}",prud. ham. 2.21 |6.8|
"{minuuntur,superus}",prud. ham. 2.21 |6.8|
"{mira,concussa}",prud. ham. 2.247 |2.6|
"{mira,concussus}",prud. ham. 2.247 |2.6|
"{mira,concutio}",prud. ham. 2.247 |2.6|
"{mira,membra}",prud. ham. 2.247 |2.4|
"{mira,membro}",prud. ham. 2.247 |2.4|
"{mira,membrum}",prud. ham. 2.247 |2.4|
"{mira,orba}",prud. ham. 2.247 |2.5|
"{mira,orbis}",prud. ham. 2.247 |2.5|
"{mira,orbus}",prud. ham. 2.247 |2.5|
"{mira,rotantur}",prud. ham. 2.247 |2.7|
"{mira,roto}",prud. ham. 2.247 |2.7|
"{mira,si}",prud. ham. 2.247 |2.3|
"{mirere,distantibus}",prud. ham. 2.863 |2.5|
"{mirere,disto}",prud. ham. 2.863 |2.5|
"{mirere,inter}",prud. ham. 2.863 |2.6|
"{mirere,locis}",prud. ham. 2.863 |2.3|
"{mirere,locus}",prud. ham. 2.863 |2.3|
"{mirere,longe}",prud. ham. 2.863 |2.4|
"{mirere,longus}",prud. ham. 2.863 |2.4|
"{miror,distantibus}",prud. ham. 2.863 |2.5|
"{miror,disto}",prud. ham. 2.863 |2.5|
"{miror,inter}",prud. ham. 2.863 |2.6|
"{miror,locis}",prud. ham. 2.863 |2.3|
"{miror,locus}",prud. ham. 2.863 |2.3|
"{miror,longe}",prud. ham. 2.863 |2.4|
"{miror,longus}",prud. ham. 2.863 |2.4|
"{mirum,concussa}",prud. ham. 2.247 |2.6|
"{mirum,concussus}",prud. ham. 2.247 |2.6|
"{mirum,concutio}",prud. ham. 2.247 |2.6|
"{mirum,membra}",prud. ham. 2.247 |2.4|
"{mirum,membro}",prud. ham. 2.247 |2.4|
"{mirum,membrum}",prud. ham. 2.247 |2.4|
"{mirum,orba}",prud. ham. 2.247 |2.5|
"{mirum,orbis}",prud. ham. 2.247 |2.5|
"{mirum,orbus}",prud. ham. 2.247 |2.5|
"{mirum,rotantur}",prud. ham. 2.247 |2.7|
"{mirum,roto}",prud. ham. 2.247 |2.7|
"{mirum,si}",prud. ham. 2.247 |2.3|
"{mirus,concussa}",prud. ham. 2.247 |2.6|
"{mirus,concussus}",prud. ham. 2.247 |2.6|
"{mirus,concutio}",prud. ham. 2.247 |2.6|
"{mirus,membra}",prud. ham. 2.247 |2.4|
"{mirus,membro}",prud. ham. 2.247 |2.4|
"{mirus,membrum}",prud. ham. 2.247 |2.4|
"{mirus,orba}",prud. ham. 2.247 |2.5|
"{mirus,orbis}",prud. ham. 2.247 |2.5|
"{mirus,orbus}",prud. ham. 2.247 |2.5|
"{mirus,rotantur}",prud. ham. 2.247 |2.7|
"{mirus,roto}",prud. ham. 2.247 |2.7|
"{mirus,si}",prud. ham. 2.247 |2.3|
"{misceo,marito}",prud. ham. 2.612 |4.5|
"{misceo,maritus}",prud. ham. 2.612 |4.5|
"{misceo,orior}",prud. ham. 2.788 |5.6|
"{misceo,ortus}",prud. ham. 2.788 |5.6|
"{miscuit,orior}",prud. ham. 2.788 |5.6|
"{miscuit,ortus}",prud. ham. 2.788 |5.6|
"{miser,aeuum}",prud. ham. 2.377 |2.5|
"{miser,capio}",prud. ham. 2.153 |3.6|
"{miser,capta}",prud. ham. 2.153 |3.6|
"{miser,captis}",prud. ham. 2.153 |3.6|
"{miser,captus}",prud. ham. 2.153 |3.6|
"{miser,corpora}",prud. ham. 2.441 |3.5|
"{miser,corporo}",prud. ham. 2.441 |3.5|
"{miser,corpus}",prud. ham. 2.441 |3.5|
"{miser,error}",prud. ham. 2.377 |2.4|
"{miser,erroribus}",prud. ham. 2.377 |2.4|
"{miser,fasces}",prud. ham. 2.441 |3.6|
"{miser,fascis}",prud. ham. 2.441 |3.6|
"{miser,foedo}",prud. ham. 2.311 |2.3|
"{miser,foedus}",prud. ham. 2.311 |2.3|
"{miser,in}",prud. ham. 2.441 |3.4|
"{miser,mater}",prud. ham. 2.607 |4.7|
"{miser,matrae}",prud. ham. 2.607 |4.7|
"{miser,matris}",prud. ham. 2.607 |4.7|
"{miser,mundi}",prud. ham. 2.844 |2.5|
"{miser,mundus}",prud. ham. 2.844 |2.5|
"{miser,nectar}",prud. ham. 2.153 |3.5|
"{miser,nectare}",prud. ham. 2.153 |3.5|
"{miser,necto}",prud. ham. 2.153 |3.5|
"{miser,nisi}",prud. ham. 2.607 |4.5|
"{miser,nisus}",prud. ham. 2.607 |4.5|
"{miser,nitor}",prud. ham. 2.607 |4.5|
"{miser,oblectamine}",prud. ham. 2.311 |2.4|
"{miser,peccati}",prud. ham. 2.153 |3.4|
"{miser,peccatum}",prud. ham. 2.153 |3.4|
"{miser,pecco}",prud. ham. 2.153 |3.4|
"{miser,pericula}",prud. ham. 2.844 |2.4|
"{miser,periculum}",prud. ham. 2.844 |2.4|
"{miser,postuma}",prud. ham. 2.607 |4.6|
"{miser,postumo}",prud. ham. 2.607 |4.6|
"{miser,postumum}",prud. ham. 2.607 |4.6|
"{miser,postumus}",prud. ham. 2.607 |4.6|
"{miser,properanda}",prud. ham. 2.844 |2.3|
"{miser,propero}",prud. ham. 2.844 |2.3|
"{miser,uideo}",prud. ham. 2.311 |2.5|
"{miser,uiso}",prud. ham. 2.311 |2.5|
"{miser,uisus}",prud. ham. 2.311 |2.5|
"{miser,uoluo}",prud. ham. 2.377 |2.3|
"{miser,uoluunt}",prud. ham. 2.377 |2.3|
"{miserae,mater}",prud. ham. 2.607 |4.7|
"{miserae,matrae}",prud. ham. 2.607 |4.7|
"{miserae,matris}",prud. ham. 2.607 |4.7|
"{miserae,nisi}",prud. ham. 2.607 |4.5|
"{miserae,nisus}",prud. ham. 2.607 |4.5|
"{miserae,nitor}",prud. ham. 2.607 |4.5|
"{miserae,postuma}",prud. ham. 2.607 |4.6|
"{miserae,postumo}",prud. ham. 2.607 |4.6|
"{miserae,postumum}",prud. ham. 2.607 |4.6|
"{miserae,postumus}",prud. ham. 2.607 |4.6|
"{miserans,latro}",prud. ham. 2.508 |3.5|
"{miserans,latroni}",prud. ham. 2.508 |3.5|
"{miserans,seruio}",prud. ham. 2.508 |3.4|
"{miserans,seruire}",prud. ham. 2.508 |3.4|
"{miseri,mundi}",prud. ham. 2.844 |2.5|
"{miseri,mundus}",prud. ham. 2.844 |2.5|
"{miseri,pericula}",prud. ham. 2.844 |2.4|
"{miseri,periculum}",prud. ham. 2.844 |2.4|
"{miseri,properanda}",prud. ham. 2.844 |2.3|
"{miseri,propero}",prud. ham. 2.844 |2.3|
"{miseris,aeuum}",prud. ham. 2.377 |2.5|
"{miseris,capio}",prud. ham. 2.153 |3.6|
"{miseris,capta}",prud. ham. 2.153 |3.6|
"{miseris,captis}",prud. ham. 2.153 |3.6|
"{miseris,captus}",prud. ham. 2.153 |3.6|
"{miseris,error}",prud. ham. 2.377 |2.4|
"{miseris,erroribus}",prud. ham. 2.377 |2.4|
"{miseris,nectar}",prud. ham. 2.153 |3.5|
"{miseris,nectare}",prud. ham. 2.153 |3.5|
"{miseris,necto}",prud. ham. 2.153 |3.5|
"{miseris,peccati}",prud. ham. 2.153 |3.4|
"{miseris,peccatum}",prud. ham. 2.153 |3.4|
"{miseris,pecco}",prud. ham. 2.153 |3.4|
"{miseris,uoluo}",prud. ham. 2.377 |2.3|
"{miseris,uoluunt}",prud. ham. 2.377 |2.3|
"{misero,latro}",prud. ham. 2.508 |3.5|
"{misero,latroni}",prud. ham. 2.508 |3.5|
"{misero,seruio}",prud. ham. 2.508 |3.4|
"{misero,seruire}",prud. ham. 2.508 |3.4|
"{miseror,latro}",prud. ham. 2.508 |3.5|
"{miseror,latroni}",prud. ham. 2.508 |3.5|
"{miseror,seruio}",prud. ham. 2.508 |3.4|
"{miseror,seruire}",prud. ham. 2.508 |3.4|
"{miserorum,corpora}",prud. ham. 2.441 |3.5|
"{miserorum,corporo}",prud. ham. 2.441 |3.5|
"{miserorum,corpus}",prud. ham. 2.441 |3.5|
"{miserorum,fasces}",prud. ham. 2.441 |3.6|
"{miserorum,fascis}",prud. ham. 2.441 |3.6|
"{miserorum,in}",prud. ham. 2.441 |3.4|
"{miseros,foedo}",prud. ham. 2.311 |2.3|
"{miseros,foedus}",prud. ham. 2.311 |2.3|
"{miseros,oblectamine}",prud. ham. 2.311 |2.4|
"{miseros,uideo}",prud. ham. 2.311 |2.5|
"{miseros,uiso}",prud. ham. 2.311 |2.5|
"{miseros,uisus}",prud. ham. 2.311 |2.5|
"{miserum,aeuum}",prud. ham. 2.377 |2.5|
"{miserum,capio}",prud. ham. 2.153 |3.6|
"{miserum,capta}",prud. ham. 2.153 |3.6|
"{miserum,captis}",prud. ham. 2.153 |3.6|
"{miserum,captus}",prud. ham. 2.153 |3.6|
"{miserum,corpora}",prud. ham. 2.441 |3.5|
"{miserum,corporo}",prud. ham. 2.441 |3.5|
"{miserum,corpus}",prud. ham. 2.441 |3.5|
"{miserum,error}",prud. ham. 2.377 |2.4|
"{miserum,erroribus}",prud. ham. 2.377 |2.4|
"{miserum,fasces}",prud. ham. 2.441 |3.6|
"{miserum,fascis}",prud. ham. 2.441 |3.6|
"{miserum,in}",prud. ham. 2.441 |3.4|
"{miserum,mundi}",prud. ham. 2.844 |2.5|
"{miserum,mundus}",prud. ham. 2.844 |2.5|
"{miserum,nectar}",prud. ham. 2.153 |3.5|
"{miserum,nectare}",prud. ham. 2.153 |3.5|
"{miserum,necto}",prud. ham. 2.153 |3.5|
"{miserum,peccati}",prud. ham. 2.153 |3.4|
"{miserum,peccatum}",prud. ham. 2.153 |3.4|
"{miserum,pecco}",prud. ham. 2.153 |3.4|
"{miserum,pericula}",prud. ham. 2.844 |2.4|
"{miserum,periculum}",prud. ham. 2.844 |2.4|
"{miserum,properanda}",prud. ham. 2.844 |2.3|
"{miserum,propero}",prud. ham. 2.844 |2.3|
"{miserum,uoluo}",prud. ham. 2.377 |2.3|
"{miserum,uoluunt}",prud. ham. 2.377 |2.3|
"{missa,persultat}",prud. ham. 1.10 |4.5|
